person,film,role
Jamie Foxx,"('White House Down', 2013)",actor
Maggie Gyllenhaal,"('White House Down', 2013)",actor
Jason Clarke,"('White House Down', 2013)",actor
Roland Emmerich,"('White House Down', 2013)",director
Harrison Ford,"('Sabrina', 1995)",actor
Julia Ormond,"('Sabrina', 1995)",actor
Greg Kinnear,"('Sabrina', 1995)",actor
Nancy Marchand,"('Sabrina', 1995)",actor
Sydney Pollack,"('Sabrina', 1995)",director
Lil Rel Howery,"('Vacation Friends', 2021)",actor
Yvonne Orji,"('Vacation Friends', 2021)",actor
John Cena,"('Vacation Friends', 2021)",actor
Meredith Hagner,"('Vacation Friends', 2021)",actor
Clay Tarver,"('Vacation Friends', 2021)",director
Teresa Palmer,"('Lights Out', 2016)",actor
Gabriel Bateman,"('Lights Out', 2016)",actor
Maria Bello,"('Lights Out', 2016)",actor
Billy Burke,"('Lights Out', 2016)",actor
David F. Sandberg,"('Lights Out', 2016)",director
Arnold Schwarzenegger,"('Terminator Genisys', 2015)",actor
Jason Clarke,"('Terminator Genisys', 2015)",actor
Emilia Clarke,"('Terminator Genisys', 2015)",actor
Jai Courtney,"('Terminator Genisys', 2015)",actor
Alan Taylor,"('Terminator Genisys', 2015)",director
Julianne Moore,"('Chloe', 2009)",actor
Amanda Seyfried,"('Chloe', 2009)",actor
Liam Neeson,"('Chloe', 2009)",actor
Max Thieriot,"('Chloe', 2009)",actor
Atom Egoyan,"('Chloe', 2009)",director
Vince Vaughn,"('Freaky', 2020)",actor
Kathryn Newton,"('Freaky', 2020)",actor
Celeste O'Connor,"('Freaky', 2020)",actor
Misha Osherovich,"('Freaky', 2020)",actor
Christopher Landon,"('Freaky', 2020)",director
Scarlett Johansson,"('Ghost in the Shell', 2017)",actor
Pilou Asbæk,"('Ghost in the Shell', 2017)",actor
Takeshi Kitano,"('Ghost in the Shell', 2017)",actor
Juliette Binoche,"('Ghost in the Shell', 2017)",actor
Rupert Sanders,"('Ghost in the Shell', 2017)",director
Vince Vaughn,"('The Internship', 2013)",actor
Owen Wilson,"('The Internship', 2013)",actor
Rose Byrne,"('The Internship', 2013)",actor
Aasif Mandvi,"('The Internship', 2013)",actor
Shawn Levy,"('The Internship', 2013)",director
Constance Wu,"('Hustlers', 2019)",actor
Jennifer Lopez,"('Hustlers', 2019)",actor
Julia Stiles,"('Hustlers', 2019)",actor
Mette Narrative,"('Hustlers', 2019)",actor
Lorene Scafaria,"('Hustlers', 2019)",director
Kevin Costner,"('The Bodyguard', 1992)",actor
Whitney Houston,"('The Bodyguard', 1992)",actor
Gary Kemp,"('The Bodyguard', 1992)",actor
Bill Cobbs,"('The Bodyguard', 1992)",actor
Mick Jackson,"('The Bodyguard', 1992)",director
Dan Stevens,"('Apostle', 2018)",actor
Richard Elfyn,"('Apostle', 2018)",actor
Paul Higgins,"('Apostle', 2018)",actor
Bill Milner,"('Apostle', 2018)",actor
Gareth Evans,"('Apostle', 2018)",director
Mira Sorvino,"(""Romy and Michele's High School Reunion"", 1997)",actor
Lisa Kudrow,"(""Romy and Michele's High School Reunion"", 1997)",actor
Janeane Garofalo,"(""Romy and Michele's High School Reunion"", 1997)",actor
Alan Cumming,"(""Romy and Michele's High School Reunion"", 1997)",actor
David Mirkin,"(""Romy and Michele's High School Reunion"", 1997)",director
Noomi Rapace,"('Lamb', 2021)",actor
Hilmir Snær Guðnason,"('Lamb', 2021)",actor
Bjorn Hlynur Haraldsson,"('Lamb', 2021)",actor
Ingvar Sigurdsson,"('Lamb', 2021)",actor
Valdimar Johannsson,"('Lamb', 2021)",director
Michelle Pfeiffer,"('The Deep End of the Ocean', 1999)",actor
Treat Williams,"('The Deep End of the Ocean', 1999)",actor
Whoopi Goldberg,"('The Deep End of the Ocean', 1999)",actor
Jonathan Jackson,"('The Deep End of the Ocean', 1999)",actor
Ulu Grosbard,"('The Deep End of the Ocean', 1999)",director
Steve Carell,"('Date Night', 2010)",actor
Tina Fey,"('Date Night', 2010)",actor
Mark Wahlberg,"('Date Night', 2010)",actor
Taraji P. Henson,"('Date Night', 2010)",actor
Shawn Levy,"('Date Night', 2010)",director
Mark Wahlberg,"('Ted 2', 2015)",actor
Seth Macfarlane,"('Ted 2', 2015)",actor
Amanda Seyfried,"('Ted 2', 2015)",actor
Jessica Barth,"('Ted 2', 2015)",actor
Seth Macfarlane,"('Ted 2', 2015)",director
Tye Sheridan,"('Scouts Guide to the Zombie Apocalypse', 2015)",actor
Logan Miller,"('Scouts Guide to the Zombie Apocalypse', 2015)",actor
Joey Morgan,"('Scouts Guide to the Zombie Apocalypse', 2015)",actor
Sarah Dumont,"('Scouts Guide to the Zombie Apocalypse', 2015)",actor
Christopher Landon,"('Scouts Guide to the Zombie Apocalypse', 2015)",director
Arnold Schwarzenegger,"('Terminator 3: Rise of the Machines', 2003)",actor
Nick Stahl,"('Terminator 3: Rise of the Machines', 2003)",actor
Kristanna Loken,"('Terminator 3: Rise of the Machines', 2003)",actor
Claire Danes,"('Terminator 3: Rise of the Machines', 2003)",actor
Jonathan Mostow,"('Terminator 3: Rise of the Machines', 2003)",director
Kevin Costner,"('Criminal', 2016)",actor
Ryan Reynolds,"('Criminal', 2016)",actor
Gal Gadot,"('Criminal', 2016)",actor
Gary Oldman,"('Criminal', 2016)",actor
Ariel Vromen,"('Criminal', 2016)",director
Tom Cruise,"('Knight and Day', 2010)",actor
Cameron Diaz,"('Knight and Day', 2010)",actor
Peter Sarsgaard,"('Knight and Day', 2010)",actor
Jordi Molla,"('Knight and Day', 2010)",actor
James Mangold,"('Knight and Day', 2010)",director
Mark Rylance,"('The BFG', 2016)",actor
Ruby Barnhill,"('The BFG', 2016)",actor
Penelope Wilton,"('The BFG', 2016)",actor
Jemaine Clement,"('The BFG', 2016)",actor
Steven Spielberg,"('The BFG', 2016)",director
Jamie Lee Curtis,"('Freaky Friday', 2003)",actor
Lindsay Lohan,"('Freaky Friday', 2003)",actor
Mark Harmon,"('Freaky Friday', 2003)",actor
Harold Gould,"('Freaky Friday', 2003)",actor
Mark Waters,"('Freaky Friday', 2003)",director
Katie Stevens,"('Haunt', 2019)",actor
Will Brittain,"('Haunt', 2019)",actor
Lauryn Alisa Mcclain,"('Haunt', 2019)",actor
Andrew Lewis Caldwell,"('Haunt', 2019)",actor
Scott Beck,"('Haunt', 2019)",director
Bryan Woods,"('Haunt', 2019)",director
Bruce Willis,"('Death Wish', 2018)",actor
Vincent D'Onofrio,"('Death Wish', 2018)",actor
Elisabeth Shue,"('Death Wish', 2018)",actor
Camila Morrone,"('Death Wish', 2018)",actor
Eli Roth,"('Death Wish', 2018)",director
Ryan Reynolds,"('The Voices', 2014)",actor
Gemma Arterton,"('The Voices', 2014)",actor
Anna Kendrick,"('The Voices', 2014)",actor
Jacki Weaver,"('The Voices', 2014)",actor
Marjane Satrapi,"('The Voices', 2014)",director
Will Ferrell,"('Anchorman 2: The Legend Continues', 2013)",actor
Christina Applegate,"('Anchorman 2: The Legend Continues', 2013)",actor
Paul Rudd,"('Anchorman 2: The Legend Continues', 2013)",actor
Steve Carell,"('Anchorman 2: The Legend Continues', 2013)",actor
Adam Mckay,"('Anchorman 2: The Legend Continues', 2013)",director
Christina Applegate,"(""Don't Tell Mom the Babysitter's Dead"", 1991)",actor
Joanna Cassidy,"(""Don't Tell Mom the Babysitter's Dead"", 1991)",actor
John Getz,"(""Don't Tell Mom the Babysitter's Dead"", 1991)",actor
Josh Charles,"(""Don't Tell Mom the Babysitter's Dead"", 1991)",actor
Stephen Herek,"(""Don't Tell Mom the Babysitter's Dead"", 1991)",director
Tom Hanks,"('Splash', 1984)",actor
Daryl Hannah,"('Splash', 1984)",actor
Eugene Levy,"('Splash', 1984)",actor
John Candy,"('Splash', 1984)",actor
Ron Howard,"('Splash', 1984)",director
Annabeth Gish,"('Mystic Pizza', 1988)",actor
Julia Roberts,"('Mystic Pizza', 1988)",actor
Lili Taylor,"('Mystic Pizza', 1988)",actor
Vincent D'Onofrio,"('Mystic Pizza', 1988)",actor
Donald Petrie,"('Mystic Pizza', 1988)",director
Daniel Radcliffe,"('Guns Akimbo', 2019)",actor
Samara Weaving,"('Guns Akimbo', 2019)",actor
Ned Dennehy,"('Guns Akimbo', 2019)",actor
Natasha Liu Bordizzo,"('Guns Akimbo', 2019)",actor
Jason Howden,"('Guns Akimbo', 2019)",director
Idris Elba,"('Bastille Day', 2016)",actor
Richard Madden,"('Bastille Day', 2016)",actor
Charlotte Le Bon,"('Bastille Day', 2016)",actor
Kelly Reilly,"('Bastille Day', 2016)",actor
James Watkins,"('Bastille Day', 2016)",director
Blake Lively,"('The Shallows', 2016)",actor
Oscar Jaenada,"('The Shallows', 2016)",actor
Angelo Josue Lozano Corzo,"('The Shallows', 2016)",actor
Joseph Salas,"('The Shallows', 2016)",actor
Jaume Collet-Serra,"('The Shallows', 2016)",director
Keri Russell,"('Dark Skies', 2013)",actor
Jake Brennan,"('Dark Skies', 2013)",actor
Josh Hamilton,"('Dark Skies', 2013)",actor
Dakota Goyo,"('Dark Skies', 2013)",actor
Scott Stewart,"('Dark Skies', 2013)",director
Dylan O'Brien,"('Maze Runner: The Scorch Trials', 2015)",actor
Kaya Scodelario,"('Maze Runner: The Scorch Trials', 2015)",actor
Thomas Brodie-Sangster,"('Maze Runner: The Scorch Trials', 2015)",actor
Giancarlo Esposito,"('Maze Runner: The Scorch Trials', 2015)",actor
Wes Ball,"('Maze Runner: The Scorch Trials', 2015)",director
Jason Statham,"('Transporter 2', 2005)",actor
Amber Valletta,"('Transporter 2', 2005)",actor
Kate Nauta,"('Transporter 2', 2005)",actor
Alessandro Gassmann,"('Transporter 2', 2005)",actor
Louis Leterrier,"('Transporter 2', 2005)",director
Jonah Hill,"('Get Him to the Greek', 2010)",actor
Russell Brand,"('Get Him to the Greek', 2010)",actor
Elisabeth Moss,"('Get Him to the Greek', 2010)",actor
Rose Byrne,"('Get Him to the Greek', 2010)",actor
Nicholas Stoller,"('Get Him to the Greek', 2010)",director
Alec Baldwin,"('The Boss Baby', 2017)",actor
Steve Buscemi,"('The Boss Baby', 2017)",actor
Jimmy Kimmel,"('The Boss Baby', 2017)",actor
Lisa Kudrow,"('The Boss Baby', 2017)",actor
Tom Mcgrath,"('The Boss Baby', 2017)",director
Saoirse Ronan,"('Mary Queen of Scots', 2018)",actor
Margot Robbie,"('Mary Queen of Scots', 2018)",actor
Jack Lowden,"('Mary Queen of Scots', 2018)",actor
Joe Alwyn,"('Mary Queen of Scots', 2018)",actor
Josie Rourke,"('Mary Queen of Scots', 2018)",director
Josh Brolin,"('Hail, Caesar!', 2016)",actor
George Clooney,"('Hail, Caesar!', 2016)",actor
Alden Ehrenreich,"('Hail, Caesar!', 2016)",actor
Ralph Fiennes,"('Hail, Caesar!', 2016)",actor
Ethan Coen,"('Hail, Caesar!', 2016)",director
Joel Coen,"('Hail, Caesar!', 2016)",director
Nicholas Hoult,"('Jack the Giant Slayer', 2013)",actor
Stanley Tucci,"('Jack the Giant Slayer', 2013)",actor
Ewan Mcgregor,"('Jack the Giant Slayer', 2013)",actor
Bill Nighy,"('Jack the Giant Slayer', 2013)",actor
Bryan Singer,"('Jack the Giant Slayer', 2013)",director
Jodie Foster,"('Flightplan', 2005)",actor
Peter Sarsgaard,"('Flightplan', 2005)",actor
Sean Bean,"('Flightplan', 2005)",actor
Kate Beahan,"('Flightplan', 2005)",actor
Robert Schwentke,"('Flightplan', 2005)",director
Ray Winstone,"('Beowulf', 2007)",actor
Crispin Glover,"('Beowulf', 2007)",actor
Angelina Jolie,"('Beowulf', 2007)",actor
Robin Wright,"('Beowulf', 2007)",actor
Robert Zemeckis,"('Beowulf', 2007)",director
Patrick Swayze,"('Red Dawn', 1984)",actor
C. Thomas Howell,"('Red Dawn', 1984)",actor
Lea Thompson,"('Red Dawn', 1984)",actor
Charlie Sheen,"('Red Dawn', 1984)",actor
John Milius,"('Red Dawn', 1984)",director
Ben Barnes,"('The Chronicles of Narnia: The Voyage of the Dawn Treader', 2010)",actor
Skandar Keynes,"('The Chronicles of Narnia: The Voyage of the Dawn Treader', 2010)",actor
Georgie Henley,"('The Chronicles of Narnia: The Voyage of the Dawn Treader', 2010)",actor
Will Poulter,"('The Chronicles of Narnia: The Voyage of the Dawn Treader', 2010)",actor
Michael Apted,"('The Chronicles of Narnia: The Voyage of the Dawn Treader', 2010)",director
Dwayne Johnson,"('Central Intelligence', 2016)",actor
Kevin Hart,"('Central Intelligence', 2016)",actor
Danielle Nicolet,"('Central Intelligence', 2016)",actor
Amy Ryan,"('Central Intelligence', 2016)",actor
Rawson Marshall Thurber,"('Central Intelligence', 2016)",director
Will Ferrell,"('Blades of Glory', 2007)",actor
Jon Heder,"('Blades of Glory', 2007)",actor
Amy Poehler,"('Blades of Glory', 2007)",actor
Will Arnett,"('Blades of Glory', 2007)",actor
Josh Gordon,"('Blades of Glory', 2007)",director
Will Speck,"('Blades of Glory', 2007)",director
Robert De Niro,"('Frankenstein', 1994)",actor
Kenneth Branagh,"('Frankenstein', 1994)",actor
Helena Bonham Carter,"('Frankenstein', 1994)",actor
Tom Hulce,"('Frankenstein', 1994)",actor
Kenneth Branagh,"('Frankenstein', 1994)",director
Adam Sandler,"('Funny People', 2009)",actor
Seth Rogen,"('Funny People', 2009)",actor
Leslie Mann,"('Funny People', 2009)",actor
Eric Bana,"('Funny People', 2009)",actor
Judd Apatow,"('Funny People', 2009)",director
Seth Rogen,"('Neighbors', 2014)",actor
Rose Byrne,"('Neighbors', 2014)",actor
Zac Efron,"('Neighbors', 2014)",actor
Lisa Kudrow,"('Neighbors', 2014)",actor
Nicholas Stoller,"('Neighbors', 2014)",director
Josh Stewart,"('The Collector', 2009)",actor
Andrea Roth,"('The Collector', 2009)",actor
Juan Fernandez,"('The Collector', 2009)",actor
William Prael,"('The Collector', 2009)",actor
Marcus Dunstan,"('The Collector', 2009)",director
Julia Roberts,"(""My Best Friend's Wedding"", 1997)",actor
Dermot Mulroney,"(""My Best Friend's Wedding"", 1997)",actor
Cameron Diaz,"(""My Best Friend's Wedding"", 1997)",actor
Rupert Everett,"(""My Best Friend's Wedding"", 1997)",actor
P.J. Hogan,"(""My Best Friend's Wedding"", 1997)",director
Danny Glover,"('Predator 2', 1990)",actor
Gary Busey,"('Predator 2', 1990)",actor
Kevin Peter Hall,"('Predator 2', 1990)",actor
Ruben Blades,"('Predator 2', 1990)",actor
Stephen Hopkins,"('Predator 2', 1990)",director
Ben Stiller,"('Meet the Fockers', 2004)",actor
Robert De Niro,"('Meet the Fockers', 2004)",actor
Blythe Danner,"('Meet the Fockers', 2004)",actor
Teri Polo,"('Meet the Fockers', 2004)",actor
Jay Roach,"('Meet the Fockers', 2004)",director
Emily Browning,"('The Uninvited', 2009)",actor
Arielle Kebbel,"('The Uninvited', 2009)",actor
Elizabeth Banks,"('The Uninvited', 2009)",actor
David Strathairn,"('The Uninvited', 2009)",actor
Charles Guard,"('The Uninvited', 2009)",director
Thomas Guard,"('The Uninvited', 2009)",director
Dakota Fanning,"(""Charlotte's Web"", 2006)",actor
Julia Roberts,"(""Charlotte's Web"", 2006)",actor
Oprah Winfrey,"(""Charlotte's Web"", 2006)",actor
Steve Buscemi,"(""Charlotte's Web"", 2006)",actor
Gary Winick,"(""Charlotte's Web"", 2006)",director
Brian O'Halloran,"('Clerks III', 2022)",actor
Jeff Anderson,"('Clerks III', 2022)",actor
Vincent Pereira,"('Clerks III', 2022)",actor
Mike Zapcic,"('Clerks III', 2022)",actor
Kevin Smith,"('Clerks III', 2022)",director
Robert De Niro,"('The Family', 2013)",actor
Michelle Pfeiffer,"('The Family', 2013)",actor
Dianna Agron,"('The Family', 2013)",actor
John D'Leo,"('The Family', 2013)",actor
Luc Besson,"('The Family', 2013)",director
Jason Sudeikis,"('Angry Birds', 2016)",actor
Josh Gad,"('Angry Birds', 2016)",actor
Danny Mcbride,"('Angry Birds', 2016)",actor
Maya Rudolph,"('Angry Birds', 2016)",actor
Clay Kaytis,"('Angry Birds', 2016)",director
Fergal Reilly,"('Angry Birds', 2016)",director
Julia Roberts,"('Sleeping with the Enemy', 1991)",actor
Patrick Bergin,"('Sleeping with the Enemy', 1991)",actor
Kevin Anderson,"('Sleeping with the Enemy', 1991)",actor
Elizabeth Lawrence,"('Sleeping with the Enemy', 1991)",actor
Joseph Ruben,"('Sleeping with the Enemy', 1991)",director
James Franco,"('Oz the Great and Powerful', 2013)",actor
Michelle Williams,"('Oz the Great and Powerful', 2013)",actor
Rachel Weisz,"('Oz the Great and Powerful', 2013)",actor
Mila Kunis,"('Oz the Great and Powerful', 2013)",actor
Sam Raimi,"('Oz the Great and Powerful', 2013)",director
James Badge Dale,"('Spectral', 2016)",actor
Emily Mortimer,"('Spectral', 2016)",actor
Bruce Greenwood,"('Spectral', 2016)",actor
Max Martini,"('Spectral', 2016)",actor
Nic Mathieu,"('Spectral', 2016)",director
Arnold Schwarzenegger,"('The Last Stand', 2013)",actor
Forest Whitaker,"('The Last Stand', 2013)",actor
Johnny Knoxville,"('The Last Stand', 2013)",actor
Rodrigo Santoro,"('The Last Stand', 2013)",actor
Jee-Woon Kim,"('The Last Stand', 2013)",director
Roger Moore,"('A View to a Kill', 1985)",actor
Christopher Walken,"('A View to a Kill', 1985)",actor
Tanya Roberts,"('A View to a Kill', 1985)",actor
Grace Jones,"('A View to a Kill', 1985)",actor
John Glen,"('A View to a Kill', 1985)",director
Antonio Banderas,"('Once Upon a Time in Mexico', 2003)",actor
Salma Hayek,"('Once Upon a Time in Mexico', 2003)",actor
Johnny Depp,"('Once Upon a Time in Mexico', 2003)",actor
Willem Dafoe,"('Once Upon a Time in Mexico', 2003)",actor
Robert Rodriguez,"('Once Upon a Time in Mexico', 2003)",director
Tom Hanks,"('Bachelor Party', 1984)",actor
Tawny Kitaen,"('Bachelor Party', 1984)",actor
Adrian Zmed,"('Bachelor Party', 1984)",actor
George Grizzard,"('Bachelor Party', 1984)",actor
Neal Israel,"('Bachelor Party', 1984)",director
Jack Nicholson,"('Wolf', 1994)",actor
Michelle Pfeiffer,"('Wolf', 1994)",actor
James Spader,"('Wolf', 1994)",actor
Kate Nelligan,"('Wolf', 1994)",actor
Mike Nichols,"('Wolf', 1994)",director
Brian Matthews,"('The Burning', 1981)",actor
Leah Ayres,"('The Burning', 1981)",actor
Brian Backer,"('The Burning', 1981)",actor
Larry Joshua,"('The Burning', 1981)",actor
Tony Maylam,"('The Burning', 1981)",director
Isabel May,"('Run Hide Fight', 2020)",actor
Radha Mitchell,"('Run Hide Fight', 2020)",actor
Thomas Jane,"('Run Hide Fight', 2020)",actor
Eli Brown,"('Run Hide Fight', 2020)",actor
Kyle Rankin,"('Run Hide Fight', 2020)",director
Will Smith,"('Bright', 2017)",actor
Joel Edgerton,"('Bright', 2017)",actor
Noomi Rapace,"('Bright', 2017)",actor
Edgar Ramirez,"('Bright', 2017)",actor
David Ayer,"('Bright', 2017)",director
Dwayne Johnson,"('Walking Tall', 2004)",actor
Ashley Scott,"('Walking Tall', 2004)",actor
Johnny Knoxville,"('Walking Tall', 2004)",actor
Michael Bowen,"('Walking Tall', 2004)",actor
Kevin Bray,"('Walking Tall', 2004)",director
Jason Biggs,"('American Wedding', 2003)",actor
Alyson Hannigan,"('American Wedding', 2003)",actor
Seann William Scott,"('American Wedding', 2003)",actor
Eugene Levy,"('American Wedding', 2003)",actor
Jesse Dylan,"('American Wedding', 2003)",director
Liam Neeson,"('The Commuter', 2018)",actor
Vera Farmiga,"('The Commuter', 2018)",actor
Patrick Wilson,"('The Commuter', 2018)",actor
Jonathan Banks,"('The Commuter', 2018)",actor
Jaume Collet-Serra,"('The Commuter', 2018)",director
Topher Grace,"('Take Me Home Tonight', 2011)",actor
Anna Faris,"('Take Me Home Tonight', 2011)",actor
Dan Fogler,"('Take Me Home Tonight', 2011)",actor
Teresa Palmer,"('Take Me Home Tonight', 2011)",actor
Michael Dowse,"('Take Me Home Tonight', 2011)",director
Jocelin Donahue,"('The House of the Devil', 2009)",actor
Tom Noonan,"('The House of the Devil', 2009)",actor
Mary Woronov,"('The House of the Devil', 2009)",actor
Greta Gerwig,"('The House of the Devil', 2009)",actor
Ti West,"('The House of the Devil', 2009)",director
Yoo Ah-In,"('#Alive', 2020)",actor
Park Shin-Hye,"('#Alive', 2020)",actor
Jeon Bae-Soo,"('#Alive', 2020)",actor
Hyun-Wook Lee,"('#Alive', 2020)",actor
Il Cho,"('#Alive', 2020)",director
Dave Bautista,"('My Spy', 2020)",actor
Chloe Coleman,"('My Spy', 2020)",actor
Parisa Fitz-Henley,"('My Spy', 2020)",actor
Kristen Schaal,"('My Spy', 2020)",actor
Peter Segal,"('My Spy', 2020)",director
Anne Hathaway,"('Ella Enchanted', 2004)",actor
Hugh Dancy,"('Ella Enchanted', 2004)",actor
Cary Elwes,"('Ella Enchanted', 2004)",actor
Joanna Lumley,"('Ella Enchanted', 2004)",actor
Tommy O'Haver,"('Ella Enchanted', 2004)",director
Nathan Lane,"('The Producers', 2005)",actor
Matthew Broderick,"('The Producers', 2005)",actor
Uma Thurman,"('The Producers', 2005)",actor
Will Ferrell,"('The Producers', 2005)",actor
Susan Stroman,"('The Producers', 2005)",director
George Clooney,"('The American', 2010)",actor
Paolo Bonacelli,"('The American', 2010)",actor
Violante Placido,"('The American', 2010)",actor
Irina Bjorklund,"('The American', 2010)",actor
Anton Corbijn,"('The American', 2010)",director
Catherine Mary Stewart,"('Night of the Comet', 1984)",actor
Kelli Maroney,"('Night of the Comet', 1984)",actor
Robert Beltran,"('Night of the Comet', 1984)",actor
Sharon Farrell,"('Night of the Comet', 1984)",actor
Thom Eberhardt,"('Night of the Comet', 1984)",director
Jason Bateman,"('Horrible Bosses 2', 2014)",actor
Jason Sudeikis,"('Horrible Bosses 2', 2014)",actor
Charlie Day,"('Horrible Bosses 2', 2014)",actor
Jennifer Aniston,"('Horrible Bosses 2', 2014)",actor
Sean Anders,"('Horrible Bosses 2', 2014)",director
Karl Urban,"('The Loft', 2014)",actor
James Marsden,"('The Loft', 2014)",actor
Wentworth Miller,"('The Loft', 2014)",actor
Eric Stonestreet,"('The Loft', 2014)",actor
